# gals field z mass r_edge sigma_edge re n ar pa
270 cosmos 0.6800000071525574 63338849730.01236 13.5 3.7731668240225584 0.652236 1.2749 0.239 79.8405
283 cosmos 0.9869999885559082 13241337638.732893 8.5 10.637163461189317 0.46686 0.8058 0.2843 76.1063
886 cosmos 0.3465000092983246 10674970874.71333 10.5 3.5182792849664466 0.253248 3.2371 0.3449 -62.4947
944 cosmos 0.7465000152587891 94841179483.36266 20.15999984741211 11.700834639986315 0.786918 4.3127 0.2 14.0
1022 cosmos 0.670199990272522 84565380646.37114 17.5 12.392124939192874 0.912324 2.6784 0.65 -70.0
1047 cosmos 0.924948 133572759677.59799 17.5 14.086792746312764 1.00507 2.769 0.775 20.5626
1212 cosmos 0.824999988079071 22302216044.07605 14.5 5.7446192802241605 0.884802 0.9529 0.6781 29.5015
1272 cosmos 0.8777 236147596085.34106 19.5 22.238498650489348 0.693744 3.0001 0.7 -85.0
1298 cosmos 0.15209999680519104 13798968005.384108 12.5 2.6308911758345928 1.42957 1.6855 0.4 60.0
1409 cosmos 0.4265 102354216098.68913 18.5 8.12599714408603 0.720234 3.1134 0.5635 78.0269
1447 cosmos 0.8440999984741211 26056527455.09789 8.5 5.877733045674748 0.493572 2.1562 0.1916 56.3963
1449 cosmos 0.5526 11404506081.630877 17.5 1.7073049398015698 1.14796 1.6092 0.8268 -76.2139
1485 cosmos 0.6819000244140625 98894952294.70323 16.5 16.2344610991957 0.554082 4.4895 0.68 -30.0
1673 cosmos 0.6639 48756453697.23201 10.5 19.583297935457654 0.327906 3.5726 0.352 82.9487
1752 cosmos 0.9265 39454139352.44608 14.5 2.7260326858095367 0.537234 3.2164 0.8568 -69.8506
2080 cosmos 0.930899977684021 28479477530.165684 8.5 20.415308186733295 0.294006 2.9617 0.5515 -27.403
2244 cosmos 0.4325999915599823 17944936854.45668 9.5 7.262552389109386 0.187572 2.7147 0.597 -57.5774
2323 cosmos 0.7279000282287598 165625139291.7026 21.5 14.83146262314524 0.691662 4.8199 0.84 66.0
