x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 162.2589 -27.7686 10.9939 3.8696 -4.6644 0.0310 1.0810 0.0785 29.7896 13.4082 0.0530 0.1841 -1048.1085 1.3444 9 9 0 1 0 0 0
0 0 162.2589 -27.7686 8.0360 0.8267 -4.5126 0.2146 4.4442 0.1375 89.5219 12.2638 0.0530 0.1841 -1048.1085 1.3444 9 9 0 1 0 0 0
0 0 162.2589 -27.7686 1.5877 0.2817 -23.5620 0.9663 3.6714 0.4955 14.6114 4.9143 0.0530 0.1841 -1048.1085 1.3444 9 9 0 1 0 0 0
0 0 162.2589 -27.7686 0.1989 0.0152 167.0979 0.8224 9.3449 0.8224 4.6583 0.7962 0.0530 0.1841 -1048.1085 1.3444 9 9 0 0 0 0 0
0 0 162.2589 -27.7686 2.5824 0.6062 -13.4171 0.4084 10.8300 0.6272 70.1046 21.4685 0.0530 0.1841 -1048.1085 1.3444 9 9 0 1 0 0 0
0 0 162.2589 -27.7686 1.1650 0.6246 -17.9176 0.6916 2.8363 0.6250 8.2828 7.2443 0.0530 0.1841 -1048.1085 1.3444 9 9 0 1 0 0 0
0 0 162.2589 -27.7686 8.7092 2.7224 -6.1638 0.5942 1.6267 0.2530 35.5117 18.3500 0.0530 0.1841 -1048.1085 1.3444 9 9 0 1 0 0 0
0 0 162.2589 -27.7686 5.4033 0.1871 0.3990 0.0207 0.9981 0.0255 13.5186 0.8251 0.0530 0.1841 -1048.1085 1.3444 9 9 0 0 0 0 0
0 0 162.2589 -27.7686 0.3643 0.0247 5.2252 1.7869 32.5887 1.1395 29.7604 3.1323 0.0530 0.1841 -1048.1085 1.3444 9 9 0 1 0 1 0
1 0 162.1693 -27.7686 11.2132 12.1490 -4.5755 0.1357 1.0812 0.1677 30.3894 42.7480 0.0527 0.1568 -1098.8577 1.0550 10 9 0 1 0 0 0
1 0 162.1693 -27.7686 4.9988 0.3048 0.4557 0.0209 0.9638 0.0341 12.0764 1.1895 0.0527 0.1568 -1098.8577 1.0550 10 9 0 0 0 0 0
1 0 162.1693 -27.7686 0.3270 0.0130 29.4669 0.8750 12.2825 0.8904 10.0670 1.1577 0.0527 0.1568 -1098.8577 1.0550 10 9 0 0 0 0 0
1 0 162.1693 -27.7686 0.2171 0.0152 166.2984 0.6820 8.4352 0.6820 4.5902 0.7185 0.0527 0.1568 -1098.8577 1.0550 10 9 0 0 0 0 0
1 0 162.1693 -27.7686 1.2978 0.1601 -21.8060 0.3338 4.3609 0.3756 14.1867 3.1231 0.0527 0.1568 -1098.8577 1.0550 10 9 0 0 0 0 0
1 0 162.1693 -27.7686 11.7305 15.7099 -6.0488 1.1141 1.4917 0.7390 43.8626 109.5713 0.0527 0.1568 -1098.8577 1.0550 10 9 0 1 0 0 0
1 0 162.1693 -27.7686 5.9047 0.3412 -2.1791 0.6315 3.1690 0.3258 46.9035 7.8112 0.0527 0.1568 -1098.8577 1.0550 10 9 0 0 0 0 0
1 0 162.1693 -27.7686 0.1096 0.0199 -45.7318 1.2811 4.9997 1.3179 1.3731 0.6770 0.0527 0.1568 -1098.8577 1.0550 10 9 0 0 0 0 0
1 0 162.1693 -27.7686 3.9506 0.2191 -12.0937 0.2722 11.2906 0.1723 111.8064 8.0024 0.0527 0.1568 -1098.8577 1.0550 10 9 0 1 0 0 0
1 0 162.1693 -27.7686 4.0906 6.3288 -8.0019 3.8375 2.2274 1.1896 22.8387 66.4052 0.0527 0.1568 -1098.8577 1.0550 10 9 0 1 0 0 0
2 0 162.0797 -27.7686 5.4400 0.3844 0.4840 0.0305 1.0617 0.0383 14.4768 1.5830 0.0517 0.5941 -1064.2126 1.1198 9 9 0 0 0 0 1
2 0 162.0797 -27.7686 2.9779 0.2286 -19.5224 0.1712 5.9316 0.2232 44.2759 5.1925 0.0517 0.5941 -1064.2126 1.1198 9 9 0 1 0 0 1
2 0 162.0797 -27.7686 1.5303 0.2750 -11.3372 0.7011 15.2096 1.0233 58.3428 15.1142 0.0517 0.5941 -1064.2126 1.1198 9 9 0 1 0 0 1
2 0 162.0797 -27.7686 11.9264 37.4831 -5.5591 0.7434 1.3935 0.8387 41.6584 234.8041 0.0517 0.5941 -1064.2126 1.1198 9 9 0 1 0 0 1
2 0 162.0797 -27.7686 0.2750 0.0195 31.4469 1.3277 10.3364 1.0470 7.1259 1.2771 0.0517 0.5941 -1064.2126 1.1198 9 9 0 0 0 0 1
2 0 162.0797 -27.7686 0.2479 0.0155 166.6796 0.5775 7.9967 0.5775 4.9699 0.6921 0.0517 0.5941 -1064.2126 1.1198 9 9 0 0 0 0 1
2 0 162.0797 -27.7686 8.5567 1.1692 -4.4886 0.0863 4.4844 0.1986 96.1843 17.9837 0.0517 0.5941 -1064.2126 1.1198 9 9 0 1 0 0 1
2 0 162.0797 -27.7686 4.8391 26.7156 -6.7329 8.0468 1.8282 1.8669 22.1762 270.0900 0.0517 0.5941 -1064.2126 1.1198 9 9 0 1 0 0 1
2 0 162.0797 -27.7686 6.1143 7.7840 -4.3716 0.0589 0.9349 0.1885 14.3281 24.8076 0.0517 0.5941 -1064.2126 1.1198 9 9 0 1 0 0 1
3 0 161.9900 -27.7686 2.5713 0.5878 -4.5970 0.0377 0.7756 0.0832 4.9989 1.8017 0.0560 0.2301 -1014.3633 1.2037 9 9 0 1 0 0 0
3 0 161.9900 -27.7686 8.7933 0.0810 0.3213 0.0182 1.4048 0.0253 30.9636 0.8482 0.0560 0.2301 -1014.3633 1.2037 9 9 0 0 1 0 0
3 0 161.9900 -27.7686 0.9577 0.0617 -22.1413 0.1937 3.5528 0.2474 8.5284 1.1818 0.0560 0.2301 -1014.3633 1.2037 9 9 0 0 0 0 0
3 0 161.9900 -27.7686 24.3253 0.2582 -5.4074 0.1000 1.8787 0.0638 114.5516 5.1496 0.0560 0.2301 -1014.3633 1.2037 9 9 0 1 0 0 0
3 0 161.9900 -27.7686 4.2871 0.0843 -12.4364 0.1878 11.3228 0.1057 121.6755 3.5526 0.0560 0.2301 -1014.3633 1.2037 9 9 0 1 1 0 0
3 0 161.9900 -27.7686 0.3032 0.0143 28.4312 0.9480 11.7226 0.9790 8.9099 1.1982 0.0560 0.2301 -1014.3633 1.2037 9 9 0 0 0 0 0
3 0 161.9900 -27.7686 0.2424 0.0164 166.5913 0.6612 8.4838 0.6612 5.1548 0.7767 0.0560 0.2301 -1014.3633 1.2037 9 9 0 0 0 0 0
3 0 161.9900 -27.7686 2.3439 0.8200 -9.2383 0.7642 1.8295 0.3227 10.7492 6.3194 0.0560 0.2301 -1014.3633 1.2037 9 9 0 1 0 0 0
